-25
-180 0
-150 .14
-120 .23
-91.6700	0.2540
-62.9300	0.2508
-47.4900	0.2437
-34.5100	0.2328
-25.4800	0.2302
-16.2800	0.2218
-6.7630	0.2038
-2.0000	0.1839
5.0000	0.1425
19.8430	-0.0006
26.4130	-0.0579
28.0550	-0.0656
30.1900	-0.0630
31.6680	-0.0559
34.6240	-0.0508
39.2230	-0.0604
46.6130	-0.0862
58.9300	-0.1196
70.7550	-0.1479
87.8350	-0.1807
120 -.17
150 -.11
180 0

0
-180 0
-150 .13
-120 .19
-91.6700	0.2167
-80.5050	0.2109
-58.8250	0.1922
-44.3730	0.1717
-35.9970	0.1549
-31.7270	0.1530
-28.4420	0.1575
-25.1570	0.1639
-21.5440	0.1588
-18.0950	0.1440
14.0950	-0.1440
17.5440	-0.1588
21.1570	-0.1639
24.4420	-0.1575
27.7270	-0.1530
31.9970	-0.1549
40.3730	-0.1717
54.8250	-0.1922
76.5050	-0.2109
87.6700	-0.2167
120 -.19
150 -.13
180 0

25
-180 0
-150 .11
-120 .17
-91.8350	0.1807
-74.7550	0.1479
-62.9300	0.1196
-50.6130	0.0862
-43.2230	0.0604
-38.6240	0.0508
-35.6680	0.0559
-34.1900	0.0630
-32.0550	0.0656
-30.4130	0.0579
-23.8430	0.0006
-9.0000	-0.1425
-2.0000	-0.1839
2.7630	-0.2038
12.2890	-0.2218
21.4860	-0.2302
30.5180	-0.2328
43.4930	-0.2437
58.9300	-0.2508
87.6700	-0.2540
120 -.23
150 -.14
180 0
